Blog	four	every	even	new	ever	never	here	would	music	me	room	work	my	want	keep	how	after	over	before	better	then	them	they	each	mean	used	re	got	free	created	days	isn	already	another	service	top	too	took	project	though	don	m	pope	just	watch	bad	best	said	against	games	com	asked	appeared	three	been	much	life	easy	if	things	make	left	yet	had	has	online	night	right	old	people	post	months	o	down	support	way	was	war	head	tell	check	no	when	together	time	global	everything	did	cost	goes	[	love	working	only	live	going	today	car	can	may	such	man	so	course	still	group	interview	not	now	name	year	looking	internet	million	quite	place	think	first	long	open	little	white	short	than	were	say	any	take	america	]	show	help	get	where	ways	between	come	many	according	west	photos	those	case	these	someone	different	same	week	without	being	money	blog	real	around	read	world	business	or	your	her	there	start	lot	ad	am	an	again	building	all	month	thursday	th	woman	very	list	small	past	will	what	full	hours	put	two	more	company	media	through	its	actually	might	good	always	hard	idea	thing	really	since	feel	story	part	also	most	find	sure	his	during	him	set	art	see	are	won	probably	both	simple	look	while	person	using	big	game	d	google	often	some	back	by	into	up	us	doesn	train	once	go	does	facebook	video	let	great	makes	app	use	from	next	few	started	do	high	something	stop	including	ll	day	our	out	york	ask	could	their	need	which	who	why	face	should	means	years	she	we	email	news	last	ve	almost	site	off	i	well	less	web	book	government	know	like	because	twitter	home	getting	own	he	made	other
Schneier on Security	1	0	3	0	1	1	6	5	0	5	0	0	5	1	1	7	1	5	2	2	7	3	6	0	2	0	6	0	0	2	0	3	0	1	1	0	2	2	0	0	4	0	0	1	3	0	0	2	5	0	0	2	1	0	2	2	4	2	8	1	3	2	0	2	4	2	0	1	0	4	2	0	0	3	0	1	9	0	0	0	0	3	4	0	7	0	0	0	0	0	1	0	0	3	5	0	0	0	7	3	0	4	3	0	0	2	0	9	1	0	1	0	0	0	0	1	2	1	3	0	0	5	0	1	8	2	4	4	0	1	2	0	0	5	0	2	0	2	0	0	0	1	2	3	0	1	1	2	1	2	1	0	2	1	0	2	1	4	10	1	6	1	0	0	2	22	0	1	2	0	0	0	0	3	1	2	0	3	9	1	0	0	4	3	0	0	5	1	2	1	1	0	2	0	2	2	2	0	3	0	2	1	0	1	11	0	1	2	0	3	13	0	3	0	1	1	4	2	1	0	2	3	0	0	1	0	4	3	4	9	0	0	0	2	2	1	0	3	2	2	0	1	8	0	2	0	3	0	11	0	3	0	0	8	5	0	0	1	1	5	2	3	1	2	1	2	0	0	16	0	1	3	0	0	0	1	27	0	0	0	0	4	5	2	2	1	1	0	0	9	1	2
Copyblogger	0	1	2	2	0	1	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	1	1	2	0	0	3	0	0	0	1	0	2	3	0	4	0	0	10	0	0	1	0	0	0	0	0	0	0	1	1	2	3	0	0	1	2	1	0	0	0	0	0	0	3	0	3	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	0	5	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	10	3	3	1	7	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	3	1	0	0	3	2	0	2	1	13	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	1	4	1	0	1	0	1	0	0	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	4	2	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	3	2	1	2	0	1	1	0	0	0	6	3	1	0	1	2	0	0	0	0	0	3	0	0	2	2	0	0	0	1	0	3	0	0
PerezHilton	0	0	1	3	0	0	1	2	0	0	0	0	0	1	0	0	5	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	3	0	0	3	0	0	1	0	0	1	1	2	0	0	0	0	0	10	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	0	3	0	0	0	1	0	0	3	0	1	1	0	2	1	1	0	0	0	0	10	2	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	6	0	0	1	0	0	2	1	0	2	2	1	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	9	1	0	2	0	0	0	2	0	0	0	3	1	1	0	0	0	0	0	0	2	3	1	1	2	0	0	0	0	1	0	0	3	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	6	0	0	0	0	0	2	3	0	0	0	0	1	5	1	0	1	3	0	0	0	1	1	1	1	0	2	0	0	4	1	1	0	0	1	5	2	1
Engadget RSS Feed	3	0	0	10	0	0	1	0	0	0	0	0	0	0	3	0	1	2	0	2	0	2	1	0	0	0	1	1	0	3	0	2	5	0	0	0	0	0	2	1	0	0	0	1	2	0	4	0	0	5	1	0	0	2	3	1	0	1	2	0	3	0	3	1	7	0	0	1	0	1	2	0	2	0	0	1	3	2	0	0	0	0	4	0	1	0	0	1	0	0	0	0	1	1	0	1	6	2	5	1	0	1	1	0	2	2	0	1	1	0	4	2	0	0	2	2	0	1	0	2	1	1	0	2	2	0	0	0	0	0	0	0	0	2	2	1	1	1	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	3	0	2	3	0	2	0	0	0	0	7	0	0	3	3	2	4	0	0	3	1	0	10	2	0	0	0	2	5	7	0	0	10	0	0	1	0	0	0	0	0	3	0	0	0	1	0	1	0	0	3	0	1	0	1	3	0	0	0	1	0	3	1	0	5	3	2	2	0	2	1	2	1	5	2	0	3	0	0	0	1	2	0	2	0	4	1	3	2	0	0	2	1	0	0	0	0	0	4	0	1	0	0	3	1	1	1	0	0	1	0	2	0	0	0	1	1	0	2	0	2	1	3	2	1	0	0	0	1	1	0	1	2	0	0	0	2
mezzoblue	0	0	0	3	1	0	1	0	0	2	0	1	3	0	0	2	0	3	0	0	0	2	0	0	0	1	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	2	0	1	0	1	0	0	1	1	0	0	1	0	0	3	3	2	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	1	0	1	0	0	2	1	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	2	1	2	0	0	0	1	1	5	0	2	1	13	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0
ShoeMoney	3	2	4	8	4	4	9	6	0	9	0	2	14	4	3	15	3	6	3	1	1	12	11	1	2	1	15	4	2	0	2	2	0	0	1	0	2	1	0	3	3	1	0	6	1	0	4	0	0	0	2	2	0	0	8	5	2	5	14	3	6	0	0	8	11	9	0	8	0	18	1	0	0	3	2	4	17	0	2	3	1	2	12	2	8	0	0	3	0	1	0	0	1	2	2	4	3	0	22	2	0	0	15	0	4	0	1	13	1	2	5	3	0	2	0	1	1	4	3	2	1	0	1	4	2	6	3	4	0	0	4	1	10	3	2	1	2	2	0	0	0	2	0	3	1	4	1	0	0	1	11	6	2	3	1	4	16	12	37	0	13	5	9	1	4	12	0	4	14	4	0	2	0	6	1	2	2	8	14	0	0	3	1	13	2	1	1	4	1	1	7	4	2	2	7	6	2	1	4	2	2	10	9	2	7	0	5	2	0	2	21	2	6	0	0	0	2	1	0	2	1	0	1	2	6	5	3	4	7	2	3	2	2	2	0	0	2	5	3	0	2	2	8	2	2	4	6	2	4	0	0	5	3	0	10	0	3	2	10	3	1	9	2	0	6	0	3	0	3	4	1	4	3	1	6	4	46	3	0	2	0	0	7	6	1	0	1	5	1	9	3	4
Slashdot	1	0	1	5	0	0	3	3	0	0	1	2	0	0	0	2	1	3	0	2	3	1	3	1	0	3	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	4	1	0	0	1	0	1	2	1	0	0	3	1	0	0	0	2	12	0	0	0	1	2	2	0	0	1	1	0	8	0	0	0	0	4	2	0	3	2	0	1	1	0	0	0	3	3	0	0	2	0	10	1	0	1	3	0	1	3	0	4	6	0	1	0	0	1	0	2	0	3	1	0	1	1	0	3	4	0	1	1	2	0	1	0	2	4	1	1	0	0	2	0	1	2	2	1	0	0	0	0	1	2	0	0	0	1	16	0	0	3	1	1	1	1	0	2	0	18	0	0	5	0	0	3	0	1	0	0	0	5	3	1	0	2	3	20	3	0	0	4	2	0	1	1	1	0	0	0	1	1	16	1	1	1	0	0	3	1	0	2	0	3	10	1	0	1	2	1	2	1	4	1	3	0	0	0	2	0	7	3	6	1	1	0	0	2	2	2	0	1	1	0	5	3	9	1	0	2	0	2	1	2	2	0	0	0	1	0	0	1	8	1	5	8	0	0	0	0	1	1	0	0	0	0	0	3	0	1	0	0	2	1	0	2	0	2	2	3	0	0	0	4	1	1
Matt Cutts: Gadgets, Google, and SEO	0	0	0	3	0	1	1	0	0	2	1	0	9	0	1	2	0	1	0	0	1	0	1	1	0	0	2	0	0	0	2	0	0	1	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	5	0	0	0	0	1	0	0	2	0	0	3	0	0	10	0	2	0	0	0	0	0	2	0	1	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	2	0	10	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	2	1	0	3	5	0	0	0	0	4	0	4	0	0	0	2	0	1	0	0	1	0	0	0	1	2	0	0	2	4	0	1	1	0	0	1	1	1	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	3	5	0	2	1	1	1	1	0	0	0	0	2	0	0	1	0	1	0	0	0	2	2	2	0	0	0	0	0	0	0	6	0	3	1	0	1	0	0	0	1	2	0	1	1	0	0	3	0	1	0	7	0	0	1	19	0	0	5	1	0	0	5	0	0	0	0	0	0	0	0
Gothamist	0	1	3	10	0	2	1	1	1	0	0	1	0	0	0	1	4	1	3	0	0	1	2	1	0	1	1	3	1	0	1	0	0	1	2	0	0	0	0	2	3	5	6	1	2	1	4	1	0	0	0	0	0	1	5	0	0	0	1	1	1	0	1	0	6	0	2	0	0	1	0	0	0	3	0	0	7	0	0	0	2	1	3	0	0	2	0	0	0	0	20	1	0	0	0	0	3	1	4	1	0	4	3	0	0	1	1	4	1	2	2	0	2	3	0	1	1	0	0	0	2	2	1	0	2	1	0	3	0	20	0	2	1	4	0	1	1	1	0	2	1	1	0	0	0	0	0	3	0	1	0	0	0	4	0	1	0	5	4	1	5	1	5	0	0	4	0	0	3	1	0	0	1	1	2	1	0	12	1	0	3	0	5	23	1	0	1	2	0	2	2	1	0	0	1	0	1	1	0	0	1	6	0	0	7	0	1	0	1	0	6	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	7	2	4	3	0	2	0	1	0	2	3	0	1	0	0	0	6	3	4	0	2	0	0	0	0	2	3	2	4	5	0	0	5	0	0	3	1	0	0	2	2	1	6	0	1	2	5	1	0	3	12	1	2	0	0	0	0	6	2	2	3	0	1	9	3	3
The Huffington Post | The Full Feed	6	10	21	50	9	26	20	29	3	69	5	49	85	31	8	45	23	20	12	7	30	58	104	11	10	31	53	8	6	3	5	5	3	6	4	4	8	2	10	3	46	23	33	56	2	4	8	57	7	0	6	6	0	11	41	13	42	3	51	36	23	2	1	40	62	0	8	16	6	70	34	2	1	20	8	27	101	2	8	8	4	38	45	11	44	8	9	25	2	3	0	21	4	24	10	32	12	6	63	61	10	5	66	6	13	5	5	105	34	0	16	4	2	7	2	9	46	14	8	6	15	9	1	37	23	29	19	26	5	0	8	15	40	28	6	12	16	22	7	4	11	16	12	30	7	7	11	5	1	16	8	0	9	9	16	27	2	80	83	29	77	12	10	0	23	63	5	3	61	2	13	4	5	19	4	7	4	50	95	5	2	11	20	61	2	3	13	46	10	7	27	22	3	8	25	17	6	15	5	10	23	14	14	5	57	9	10	4	1	16	159	5	2	7	7	9	13	8	9	10	1	17	0	10	39	20	71	25	45	23	18	0	10	22	7	2	4	13	10	3	6	30	76	10	9	4	63	8	20	5	4	14	21	81	52	3	8	13	49	27	31	68	12	13	13	3	26	37	158	2	10	10	42	5	0	13	310	19	2	0	8	10	46	48	31	4	8	8	14	107	13	33
